Year,Year Code,State,State Code,Deaths,Population,Crude Rate
1999,1999,Alabama,1,435,4430141,9.8
1999,1999,Alaska,2,55,624779,8.8
1999,1999,Arizona,4,476,5023823,9.5
1999,1999,Arkansas,5,234,2651860,8.8
1999,1999,California,6,1532,33499204,4.6
1999,1999,Colorado,8,309,4226018,7.3
1999,1999,Connecticut,9,111,3386401,3.3
1999,1999,Delaware,10,44,774990,5.7
1999,1999,District of Columbia,11,13,570213,Unreliable
1999,1999,Florida,12,1136,15759421,7.2
1999,1999,Georgia,13,628,8045965,7.8
1999,1999,Hawaii,15,23,1210300,1.9
1999,1999,Idaho,16,125,1275674,9.8
1999,1999,Illinois,17,481,12359020,3.9
1999,1999,Indiana,18,368,6044969,6.1
1999,1999,Iowa,19,160,2917634,5.5
1999,1999,Kansas,20,166,2678338,6.2
1999,1999,Kentucky,21,334,4018053,8.3
1999,1999,Louisiana,22,389,4460811,8.7
1999,1999,Maine,23,91,1266808,7.2
1999,1999,Maryland,24,241,5254509,4.6
1999,1999,Massachusetts,25,118,6317345,1.9
1999,1999,Michigan,26,542,9897116,5.5
1999,1999,Minnesota,27,228,4873481,4.7
1999,1999,Mississippi,28,244,2828408,8.6
1999,1999,Missouri,29,426,5561948,7.7
1999,1999,Montana,30,96,897507,10.7
1999,1999,Nebraska,31,108,1704764,6.3
1999,1999,Nevada,32,259,1934718,13.4
1999,1999,New Hampshire,33,64,1222014,5.2
1999,1999,New Jersey,34,195,8359592,2.3
1999,1999,New Mexico,35,180,1808082,10
1999,1999,New York,36,439,18882725,2.3
1999,1999,North Carolina,37,567,7949361,7.1
1999,1999,North Dakota,38,39,644259,6.1
1999,1999,Ohio,39,626,11335454,5.5
1999,1999,Oklahoma,40,317,3437147,9.2
1999,1999,Oregon,41,309,3393941,9.1
1999,1999,Pennsylvania,42,709,12263805,5.8
1999,1999,Rhode Island,44,35,1040402,3.4
1999,1999,South Carolina,45,287,3974682,7.2
1999,1999,South Dakota,46,56,750412,7.5
1999,1999,Tennessee,47,497,5638706,8.8
1999,1999,Texas,48,1224,20558220,6
1999,1999,Utah,49,153,2203482,6.9
1999,1999,Vermont,50,46,604683,7.6
1999,1999,Virginia,51,503,7000174,7.2
1999,1999,Washington,53,450,5842564,7.7
1999,1999,West Virginia,54,169,1811799,9.3
1999,1999,Wisconsin,55,299,5332666,5.6
1999,1999,Wyoming,56,63,491780,12.8
2000,2000,Alabama,1,427,4447100,9.6
