level_0,index,incident_id,incident_date,state,city_or_county,address,killed,injured,incident_url,year,month-year
0,0,1891461,2020-12-31,Indiana,Indianapolis,8215 Center Run Road,1,3,https://www.gunviolencearchive.org/incident/1891461,2020,12-2020
1,1,1890946,2020-12-31,Oregon,Happy Valley,9200 block of SE Idleman Rd,0,4,https://www.gunviolencearchive.org/incident/1890946,2020,12-2020
2,2,1886974,2020-12-26,Illinois,Rockford,4007 E State St,3,3,https://www.gunviolencearchive.org/incident/1886974,2020,12-2020
3,3,1886913,2020-12-26,Florida,Tampa,N 20th St and E 7th Ave,2,2,https://www.gunviolencearchive.org/incident/1886913,2020,12-2020
4,4,1887059,2020-12-26,Massachusetts,Lynn,Washington St and Quincy Ter,1,5,https://www.gunviolencearchive.org/incident/1887059,2020,12-2020
5,5,1886849,2020-12-26,Florida,Miami,NW 61st St and NW 13th Ave,1,3,https://www.gunviolencearchive.org/incident/1886849,2020,12-2020
6,6,1886372,2020-12-25,Florida,Boynton Beach,Martin Luther King Jr Blvd and N Seacrest Blvd,1,4,https://www.gunviolencearchive.org/incident/1886372,2020,12-2020
7,7,1886721,2020-12-25,Arkansas,Atkins,5180 Pine Ridge Rd,5,0,https://www.gunviolencearchive.org/incident/1886721,2020,12-2020
8,8,1886141,2020-12-24,Florida,Lakeland,1500 block of Amos Ave,1,4,https://www.gunviolencearchive.org/incident/1886141,2020,12-2020
9,9,1885251,2020-12-22,Mississippi,Meridian,Jeffrey Acres Rd,5,0,https://www.gunviolencearchive.org/incident/1885251,2020,12-2020
10,10,1882214,2020-12-20,Connecticut,Bridgeport,456 Connecticut Ave,2,2,https://www.gunviolencearchive.org/incident/1882214,2020,12-2020
11,11,1881213,2020-12-19,Illinois,Chicago,8936 S Cottage Grove Ave,0,6,https://www.gunviolencearchive.org/incident/1881213,2020,12-2020
12,12,1876727,2020-12-13,West Virginia,Elkview,1384 Cemetery Hill Dr,4,0,https://www.gunviolencearchive.org/incident/1876727,2020,12-2020
13,13,1877043,2020-12-12,California,San Bernardino,900 block of N Sierra Way,1,3,https://www.gunviolencearchive.org/incident/1877043,2020,12-2020
14,14,1876231,2020-12-12,New York,Copiague,2336 Great Neck Rd,2,2,https://www.gunviolencearchive.org/incident/1876231,2020,12-2020
15,15,1876039,2020-12-12,New York,Brooklyn,574 Warren St,0,4,https://www.gunviolencearchive.org/incident/1876039,2020,12-2020
16,16,1876552,2020-12-12,Maryland,Hyattsville (Landover),8600 block of Old Ardmore Rd,2,2,https://www.gunviolencearchive.org/incident/1876552,2020,12-2020
17,17,1877628,2020-12-10,Georgia,Tifton,700 block of 17 1/2 St,0,4,https://www.gunviolencearchive.org/incident/1877628,2020,12-2020
18,18,1877122,2020-12-10,Mississippi,Jackson,1805 Hospital Dr,0,5,https://www.gunviolencearchive.org/incident/1877122,2020,12-2020
19,19,1908063,2020-12-08,West Virginia,Williamsburg,611 Flynns Creek Rd,6,0,https://www.gunviolencearchive.org/incident/1908063,2020,12-2020
20,20,1873798,2020-12-08,Louisiana,Lacombe,28399 Palmer Dr,2,3,https://www.gunviolencearchive.org/incident/1873798,2020,12-2020
21,21,1870827,2020-12-06,Texas,Venus,6100 N FM 157,0,6,https://www.gunviolencearchive.org/incident/1870827,2020,12-2020
22,22,1871627,2020-12-05,California,Hayward,25000 block of Eldridge Ave,1,3,https://www.gunviolencearchive.org/incident/1871627,2020,12-2020
23,23,1870840,2020-12-05,North Carolina,Autryville,10101 Gip Rd,0,6,https://www.gunviolencearchive.org/incident/1870840,2020,12-2020
24,24,1869748,2020-12-04,Illinois,Chicago,4400 block of W Adams St,0,4,https://www.gunviolencearchive.org/incident/1869748,2020,12-2020
25,25,1867006,2020-12-01,Pennsylvania,Morrisville,1 Makefield Rd,1,3,https://www.gunviolencearchive.org/incident/1867006,2020,12-2020
26,26,1866100,2020-11-30,Alaska,Palmer,335 N Valley Way,4,0,https://www.gunviolencearchive.org/incident/1866100,2020,11-2020
27,27,1864683,2020-11-29,Mississippi,Grenada,Highway 8 East,0,11,https://www.gunviolencearchive.org/incident/1864683,2020,11-2020
28,28,1865110,2020-11-29,Tennessee,Memphis,3492 W Metropolitan Cir,2,3,https://www.gunviolencearchive.org/incident/1865110,2020,11-2020
29,29,1863726,2020-11-28,South Carolina,Aiken,1695 Richland Ave E,1,10,https://www.gunviolencearchive.org/incident/1863726,2020,11-2020
30,30,1864205,2020-11-28,South Carolina,Conway,3800 block of Golden Key Rd,0,5,https://www.gunviolencearchive.org/incident/1864205,2020,11-2020
31,31,1864177,2020-11-28,Louisiana,New Orleans,7001 Lawrence Rd,0,4,https://www.gunviolencearchive.org/incident/1864177,2020,11-2020
32,32,1862947,2020-11-27,Georgia,Macon,425 Cherry St,1,5,https://www.gunviolencearchive.org/incident/1862947,2020,11-2020
33,33,1863099,2020-11-27,Ohio,Toledo,3257 Stickney Ave,0,6,https://www.gunviolencearchive.org/incident/1863099,2020,11-2020
