level_0,index,incident_id,incident_date,state,city_or_county,address,killed,injured,incident_url,year,month-year
0,0,2201535,2021-12-31,Maryland,Capitol Heights,Cindy Ln,0,4,https://www.gunviolencearchive.org/incident/2201535,2021,12-2021
1,1,2201716,2021-12-31,Mississippi,Gulfport,1200 block of Lewis Ave,4,3,https://www.gunviolencearchive.org/incident/2201716,2021,12-2021
2,2,2201216,2021-12-31,California,Los Angeles,10211 S. Avalon Blvd,0,6,https://www.gunviolencearchive.org/incident/2201216,2021,12-2021
3,3,2200968,2021-12-30,Pennsylvania,Philadelphia,5100 block of Germantown Ave,0,7,https://www.gunviolencearchive.org/incident/2200968,2021,12-2021
4,4,2201052,2021-12-30,Missouri,Kirksville,700 block of E Dodson St,3,1,https://www.gunviolencearchive.org/incident/2201052,2021,12-2021
5,5,2198521,2021-12-27,Colorado,Denver,56 Broadway,6,2,https://www.gunviolencearchive.org/incident/2198521,2021,12-2021
6,6,2198014,2021-12-27,Ohio,Youngstown,2626 Tyrell Ave,1,3,https://www.gunviolencearchive.org/incident/2198014,2021,12-2021
7,7,2200720,2021-12-27,Alabama,Mobile,3606 Moffett Rd,1,3,https://www.gunviolencearchive.org/incident/2200720,2021,12-2021
8,8,2197178,2021-12-26,Virginia,Clear Brook,I-81 S and Visitor Center Loop,1,4,https://www.gunviolencearchive.org/incident/2197178,2021,12-2021
9,9,2197391,2021-12-26,Texas,Garland,730 W Walnut St,3,1,https://www.gunviolencearchive.org/incident/2197391,2021,12-2021
10,10,2198071,2021-12-26,New York,Buffalo,1300 block of Jefferson Ave,0,4,https://www.gunviolencearchive.org/incident/2198071,2021,12-2021
11,11,2197421,2021-12-26,Mississippi,Fayette,225 Community Dr,1,6,https://www.gunviolencearchive.org/incident/2197421,2021,12-2021
12,12,2197328,2021-12-26,Pennsylvania,Philadelphia,800 block of W Clearfield St,0,4,https://www.gunviolencearchive.org/incident/2197328,2021,12-2021
13,13,2196827,2021-12-25,Louisiana,Lafayette,2100 block of NE Evangeline Thruway,0,4,https://www.gunviolencearchive.org/incident/2196827,2021,12-2021
14,14,2196434,2021-12-24,Georgia,Roswell,401 Huntington Dr,1,3,https://www.gunviolencearchive.org/incident/2196434,2021,12-2021
15,15,2196267,2021-12-24,Pennsylvania,Pittsburgh,7300 block of Schoyer St,0,6,https://www.gunviolencearchive.org/incident/2196267,2021,12-2021
16,16,2196839,2021-12-24,New York,Brooklyn,1031 Nostrand Ave,0,4,https://www.gunviolencearchive.org/incident/2196839,2021,12-2021
17,17,2193049,2021-12-19,Illinois,Lovejoy (Brooklyn),213 Madison St,1,3,https://www.gunviolencearchive.org/incident/2193049,2021,12-2021
18,18,2191752,2021-12-17,Maryland,Baltimore,600 block of Laurens St,1,3,https://www.gunviolencearchive.org/incident/2191752,2021,12-2021
19,19,2192046,2021-12-17,Maryland,Baltimore,1300 block of W North Ave,1,4,https://www.gunviolencearchive.org/incident/2192046,2021,12-2021
20,20,2191683,2021-12-17,Virginia,Portsmouth,4105 Portsmouth Blvd,0,4,https://www.gunviolencearchive.org/incident/2191683,2021,12-2021
21,21,2188999,2021-12-13,California,Fresno,E Normal Ave and Mayfair Dr S,0,4,https://www.gunviolencearchive.org/incident/2188999,2021,12-2021
22,22,2188843,2021-12-13,Pennsylvania,Philadelphia,3400 block of Emerald St,0,4,https://www.gunviolencearchive.org/incident/2188843,2021,12-2021
23,23,2188260,2021-12-13,North Carolina,Durham,Eugene St and Mathison St,2,4,https://www.gunviolencearchive.org/incident/2188260,2021,12-2021
24,24,2187939,2021-12-12,Mississippi,Bolton,6171 W. Northside Dr,0,6,https://www.gunviolencearchive.org/incident/2187939,2021,12-2021
25,25,2190367,2021-12-12,Florida,Tampa,Alaska Ave,0,5,https://www.gunviolencearchive.org/incident/2190367,2021,12-2021
26,26,2187990,2021-12-12,Texas,Baytown,1403 N Market Loop,1,13,https://www.gunviolencearchive.org/incident/2187990,2021,12-2021
27,27,2188066,2021-12-12,Virginia,Woodbridge,13989 Jefferson Davis Hwy,0,4,https://www.gunviolencearchive.org/incident/2188066,2021,12-2021
28,28,2187027,2021-12-11,Illinois,River Grove,3111 River Rd,1,3,https://www.gunviolencearchive.org/incident/2187027,2021,12-2021
29,29,2186517,2021-12-10,Michigan,Lansing,Miller Rd and Cedar St,1,3,https://www.gunviolencearchive.org/incident/2186517,2021,12-2021
30,30,2187077,2021-12-10,Florida,Orlando,Jefferson St and Garden Ave,0,5,https://www.gunviolencearchive.org/incident/2187077,2021,12-2021
31,31,2186696,2021-12-10,North Carolina,Charlotte,3100 block of Marney Ave,0,5,https://www.gunviolencearchive.org/incident/2186696,2021,12-2021
32,32,2186858,2021-12-09,Maryland,Capitol Heights,6700 Walker Mill Rd,0,4,https://www.gunviolencearchive.org/incident/2186858,2021,12-2021
33,33,2186246,2021-12-09,Wisconsin,Beloit,1900 block of Porter Ave,1,5,https://www.gunviolencearchive.org/incident/2186246,2021,12-2021
34,34,2183667,2021-12-06,Pennsylvania,Philadelphia,1500 block of N 29th St,0,4,https://www.gunviolencearchive.org/incident/2183667,2021,12-2021
35,35,2182789,2021-12-05,Michigan,Detroit,5200 block of Marlborough St,2,2,https://www.gunviolencearchive.org/incident/2182789,2021,12-2021
36,36,2183120,2021-12-05,Texas,El Paso,2910 Tularosa Ave,1,3,https://www.gunviolencearchive.org/incident/2183120,2021,12-2021
37,37,2181840,2021-12-03,Tennessee,Memphis,3885 Elvis Presley Blvd,2,2,https://www.gunviolencearchive.org/incident/2181840,2021,12-2021
