level_0,index,incident_id,incident_date,state,city_or_country,address,killed,injured,incident_url,year,month-year
0,0,2491656,2022-12-31,Arizona,Phoenix,4201 N 19th Ave,0,9,https://www.gunviolencearchive.org/incident/2491656,2022,12-2022
1,1,2492253,2022-12-31,Alabama,Mobile,200 block of Dauphin St,1,8,https://www.gunviolencearchive.org/incident/2492253,2022,12-2022
2,2,2491054,2022-12-30,Tennessee,Memphis,E Brooks Rd,1,3,https://www.gunviolencearchive.org/incident/2491054,2022,12-2022
3,3,2490925,2022-12-30,Texas,Humble,4800 block of Park Square Ln,2,3,https://www.gunviolencearchive.org/incident/2490925,2022,12-2022
4,4,2489614,2022-12-28,New York,Bronx,851 E Tremont Ave,1,3,https://www.gunviolencearchive.org/incident/2489614,2022,12-2022
5,5,2490150,2022-12-28,Texas,Dallas,9500 block of Scyene Rd,0,6,https://www.gunviolencearchive.org/incident/2490150,2022,12-2022
6,6,2488952,2022-12-27,District of Columbia,Washington,2300 block of Pennsylvania Ave SE,0,4,https://www.gunviolencearchive.org/incident/2488952,2022,12-2022
7,7,2489345,2022-12-27,Ohio,Columbus,900 block of Bellows Ave,0,5,https://www.gunviolencearchive.org/incident/2489345,2022,12-2022
8,8,2489124,2022-12-27,California,Eureka,4000 block of Crane St,2,2,https://www.gunviolencearchive.org/incident/2489124,2022,12-2022
9,9,2488209,2022-12-26,Louisiana,New Orleans,2031 St Maurice Ave,2,4,https://www.gunviolencearchive.org/incident/2488209,2022,12-2022
10,10,2487989,2022-12-24,Mississippi,Columbus,90 block of Luxapalila Dr,1,4,https://www.gunviolencearchive.org/incident/2487989,2022,12-2022
11,11,2487517,2022-12-23,Kansas,Wichita,900 block of S Mission Rd,2,2,https://www.gunviolencearchive.org/incident/2487517,2022,12-2022
12,12,2485011,2022-12-19,Florida,Lake City,NW Dixie Ave and NW Wright Ln,0,5,https://www.gunviolencearchive.org/incident/2485011,2022,12-2022
13,13,2484083,2022-12-18,California,Santa Ana,2112 S Main St,1,3,https://www.gunviolencearchive.org/incident/2484083,2022,12-2022
14,14,2483594,2022-12-18,Oklahoma,Oklahoma City,311 S Klein Ave,0,4,https://www.gunviolencearchive.org/incident/2483594,2022,12-2022
15,15,2483489,2022-12-17,Georgia,Atlanta,3000 Continental Colony Pkwy SW,2,3,https://www.gunviolencearchive.org/incident/2483489,2022,12-2022
16,16,2482288,2022-12-16,Illinois,Chicago,2150 S Laflin St,2,2,https://www.gunviolencearchive.org/incident/2482288,2022,12-2022
17,17,2483188,2022-12-16,Georgia,Valdosta,611 E Ann St,2,2,https://www.gunviolencearchive.org/incident/2483188,2022,12-2022
18,18,2483108,2022-12-16,Texas,Dallas,2691 John West Rd,0,5,https://www.gunviolencearchive.org/incident/2483108,2022,12-2022
19,19,2482711,2022-12-16,Tennessee,Memphis,831 Springdale Run Dr,0,5,https://www.gunviolencearchive.org/incident/2482711,2022,12-2022
20,20,2482119,2022-12-15,California,Los Angeles,Florence Ave,0,4,https://www.gunviolencearchive.org/incident/2482119,2022,12-2022
21,21,2480430,2022-12-13,New York,Rochester,Atlantic Ave and Illinois St,1,4,https://www.gunviolencearchive.org/incident/2480430,2022,12-2022
22,22,2479678,2022-12-12,New York,Bronx,388 E 141st St,0,4,https://www.gunviolencearchive.org/incident/2479678,2022,12-2022
23,23,2478664,2022-12-11,Illinois,Chicago,3235 N Central Ave,3,1,https://www.gunviolencearchive.org/incident/2478664,2022,12-2022
24,24,2478061,2022-12-09,Arizona,Phoenix,S 21st and W Burgess LN,1,3,https://www.gunviolencearchive.org/incident/2478061,2022,12-2022
25,25,2477622,2022-12-08,Michigan,Detroit,1114 Washington Blvd,0,4,https://www.gunviolencearchive.org/incident/2477622,2022,12-2022
26,26,2477404,2022-12-08,Louisiana,New Orleans,4242 Chef Menteur Hwy,0,4,https://www.gunviolencearchive.org/incident/2477404,2022,12-2022
27,27,2475554,2022-12-06,New York,Bronx,Daly Ave and E 180th St,0,4,https://www.gunviolencearchive.org/incident/2475554,2022,12-2022
28,28,2475546,2022-12-06,Georgia,Macon,159 Steven Dr,3,1,https://www.gunviolencearchive.org/incident/2475546,2022,12-2022
29,29,2474143,2022-12-04,Illinois,Zion,1800 block of Horeb Ave,0,5,https://www.gunviolencearchive.org/incident/2474143,2022,12-2022
30,30,2472924,2022-12-01,Texas,San Antonio,4200 block of S Cibolo St,0,4,https://www.gunviolencearchive.org/incident/2472924,2022,12-2022
31,31,2471298,2022-11-30,Louisiana,Lake Charles,510 Broad St,0,8,https://www.gunviolencearchive.org/incident/2471298,2022,11-2022
32,32,2469354,2022-11-27,Florida,Tallahassee,2101 Wahnish Way,1,4,https://www.gunviolencearchive.org/incident/2469354,2022,11-2022
33,33,2468894,2022-11-27,Louisiana,New Orleans,200 block of Bourbon St,0,5,https://www.gunviolencearchive.org/incident/2468894,2022,11-2022
34,34,2468745,2022-11-26,Georgia,Atlanta,117 17th St NW,2,4,https://www.gunviolencearchive.org/incident/2468745,2022,11-2022
35,35,2468642,2022-11-26,Alabama,Mobile,216 Dauphin St,0,4,https://www.gunviolencearchive.org/incident/2468642,2022,11-2022
36,36,2468325,2022-11-26,Illinois,Chicago,12700 block of S Halsted St,2,2,https://www.gunviolencearchive.org/incident/2468325,2022,11-2022
37,37,2468162,2022-11-25,Georgia,Atlanta,2700 block of Gresham Rd,1,3,https://www.gunviolencearchive.org/incident/2468162,2022,11-2022
38,38,2467743,2022-11-24,California,Costa Mesa,400 block of Bay St,1,4,https://www.gunviolencearchive.org/incident/2467743,2022,11-2022
39,39,2467661,2022-11-24,Texas,Houston,1511 Baggett Ln,2,2,https://www.gunviolencearchive.org/incident/2467661,2022,11-2022
40,40,2466835,2022-11-23,Maryland,Temple Hills,2300 block of Iverson St,0,4,https://www.gunviolencearchive.org/incident/2466835,2022,11-2022
41,41,2466431,2022-11-23,Pennsylvania,Philadelphia,1901 N 60th St,0,4,https://www.gunviolencearchive.org/incident/2466431,2022,11-2022
42,42,2465761,2022-11-22,Virginia,Chesapeake,1521 Sam's Circle,7,6,https://www.gunviolencearchive.org/incident/2465761,2022,11-2022
43,43,2465213,2022-11-22,Florida,West Palm Beach,600 block of Snead Cir,2,2,https://www.gunviolencearchive.org/incident/2465213,2022,11-2022
44,44,2464943,2022-11-20,Oklahoma,Hennessey,2372 N 2760 Rd,4,1,https://www.gunviolencearchive.org/incident/2464943,2022,11-2022
45,45,2464272,2022-11-20,Texas,Dallas,2000 S Beckley Ave,0,4,https://www.gunviolencearchive.org/incident/2464272,2022,11-2022
46,46,2463465,2022-11-19,Colorado,Colorado Springs,3430 N Academy Blvd,5,17,https://www.gunviolencearchive.org/incident/2463465,2022,11-2022
47,47,2464352,2022-11-19,Illinois,Washington Park,Bunkum Rd and N 45th St,1,3,https://www.gunviolencearchive.org/incident/2464352,2022,11-2022
48,48,2463882,2022-11-19,Mississippi,Philadelphia,560 Line St,1,6,https://www.gunviolencearchive.org/incident/2463882,2022,11-2022
49,49,2462457,2022-11-18,Virginia,Richmond,4275 Laurel Oak Rd,4,0,https://www.gunviolencearchive.org/incident/2462457,2022,11-2022
50,50,2458727,2022-11-13,Pennsylvania,Philadelphia,400 block of E Wyoming Ave,0,4,https://www.gunviolencearchive.org/incident/2458727,2022,11-2022
51,51,2458676,2022-11-13,North Carolina,Enfield,1662 Green Acres Rd,1,5,https://www.gunviolencearchive.org/incident/2458676,2022,11-2022
52,52,2458863,2022-11-13,Nebraska,Omaha,3347 Ames Ave,1,7,https://www.gunviolencearchive.org/incident/2458863,2022,11-2022
53,53,2459150,2022-11-13,Virginia,Charlottesville,130 Culbreth St,3,2,https://www.gunviolencearchive.org/incident/2459150,2022,11-2022
54,54,2458933,2022-11-12,California,Sacramento,4000 block of May St,0,4,https://www.gunviolencearchive.org/incident/2458933,2022,11-2022
55,55,2459005,2022-11-12,Texas,Fort Worth,6655 Calgary Ln,0,4,https://www.gunviolencearchive.org/incident/2459005,2022,11-2022
56,56,2459259,2022-11-12,California,Indio,Lilac Ct and Golden Rod Dr,1,3,https://www.gunviolencearchive.org/incident/2459259,2022,11-2022
57,57,2458467,2022-11-12,New Jersey,Paterson,50 Block of N Main St,0,4,https://www.gunviolencearchive.org/incident/2458467,2022,11-2022
58,58,2459156,2022-11-12,Tennessee,Memphis,S Goodlett St and Sheffield Ave,0,4,https://www.gunviolencearchive.org/incident/2459156,2022,11-2022
59,59,2458086,2022-11-11,New Jersey,Jersey City,Virginia Ave and Martin Luther King Dr,0,4,https://www.gunviolencearchive.org/incident/2458086,2022,11-2022
60,60,2455710,2022-11-07,Texas,Mcallen (McAllen),4700 block of Jasmine Ave,0,4,https://www.gunviolencearchive.org/incident/2455710,2022,11-2022
61,61,2453865,2022-11-06,Illinois,Chicago,311 W Chicago Ave,1,3,https://www.gunviolencearchive.org/incident/2453865,2022,11-2022
62,62,2453892,2022-11-06,Illinois,Chicago,5100 block of S Kolin Ave,0,5,https://www.gunviolencearchive.org/incident/2453892,2022,11-2022
63,63,2454565,2022-11-06,California,Tulare,Rd 84 and Ave 208,0,5,https://www.gunviolencearchive.org/incident/2454565,2022,11-2022
64,64,2455484,2022-11-06,Florida,Gainesville,500 SW 2nd Ave,0,4,https://www.gunviolencearchive.org/incident/2455484,2022,11-2022
65,65,2454281,2022-11-05,New York,Buffalo,30 E Amherst St,0,4,https://www.gunviolencearchive.org/incident/2454281,2022,11-2022
66,66,2453744,2022-11-05,Pennsylvania,Philadelphia,853 E Allegheny Ave,0,9,https://www.gunviolencearchive.org/incident/2453744,2022,11-2022
67,67,2452673,2022-11-04,Florida,Orlando,10145 Myers Dr,4,2,https://www.gunviolencearchive.org/incident/2452673,2022,11-2022
68,68,2452798,2022-11-04,Maryland,La Plata,3018 Wildflower Dr,5,0,https://www.gunviolencearchive.org/incident/2452798,2022,11-2022
69,69,2452501,2022-11-03,Illinois,Chicago,3700 block of W Chicago Ave,0,4,https://www.gunviolencearchive.org/incident/2452501,2022,11-2022
70,70,2451028,2022-11-02,Texas,Houston,2930 W Sam Houston Pkwy S,0,4,https://www.gunviolencearchive.org/incident/2451028,2022,11-2022
71,71,2451550,2022-11-02,Mississippi,Hattiesburg,W 5th St,2,3,https://www.gunviolencearchive.org/incident/2451550,2022,11-2022
72,72,2450360,2022-11-01,Colorado,Denver,1400 block of Verbena St,1,5,https://www.gunviolencearchive.org/incident/2450360,2022,11-2022
73,73,2450917,2022-11-01,Maryland,Baltimore,2000 block of W Pratt St,0,4,https://www.gunviolencearchive.org/incident/2450917,2022,11-2022
74,74,2449986,2022-10-31,Kansas,Kansas City,S 50th St and Elmwood Ave,1,6,https://www.gunviolencearchive.org/incident/2449986,2022,10-2022
75,75,2450557,2022-10-31,Illinois,East Saint Louis,935 St Louis Ave,2,3,https://www.gunviolencearchive.org/incident/2450557,2022,10-2022
76,76,2449653,2022-10-31,Illinois,Chicago,S California Ave and W Polk St,1,13,https://www.gunviolencearchive.org/incident/2449653,2022,10-2022
77,77,2448898,2022-10-30,Tennessee,Memphis,3920 Park Ave,1,3,https://www.gunviolencearchive.org/incident/2448898,2022,10-2022
78,78,2448366,2022-10-30,Colorado,Aurora,900 block of N Geneva St,4,0,https://www.gunviolencearchive.org/incident/2448366,2022,10-2022
79,79,2448287,2022-10-30,Pennsylvania,Philadelphia,601 Spring Garden St,0,6,https://www.gunviolencearchive.org/incident/2448287,2022,10-2022
80,80,2448361,2022-10-30,California,Covina,17000 block of E Bellbrook St,2,2,https://www.gunviolencearchive.org/incident/2448361,2022,10-2022
81,81,2448372,2022-10-30,South Carolina,Charleston,1900 Hazelwood Dr,0,4,https://www.gunviolencearchive.org/incident/2448372,2022,10-2022
