incident_id,incident_date,state,city_or_country,address,killed,injured,incident_url,year,month-year,subject1_age,subject2_age,subject3_age,subject4_age,subject_gender,no_of_subject
2491656,12/31/22,Arizona,Phoenix,4201 N 19th Ave,0,9,https://www.gunviolencearchive.org/incident/2491656,2022,Dec-22,,,,,,
2492253,12/31/22,Alabama,Mobile,200 block of Dauphin St,1,8,https://www.gunviolencearchive.org/incident/2492253,2022,Dec-22,22,,,,male,1
2491054,12/30/22,Tennessee,Memphis,E Brooks Rd,1,3,https://www.gunviolencearchive.org/incident/2491054,2022,Dec-22,,,,,,
2490925,12/30/22,Texas,Humble,4800 block of Park Square Ln,2,3,https://www.gunviolencearchive.org/incident/2490925,2022,Dec-22,,,,,,
2489614,12/28/22,New York,Bronx,851 E Tremont Ave,1,3,https://www.gunviolencearchive.org/incident/2489614,2022,Dec-22,28,,,,male,1
2490150,12/28/22,Texas,Dallas,9500 block of Scyene Rd,0,6,https://www.gunviolencearchive.org/incident/2490150,2022,Dec-22,,,,,,
2488952,12/27/22,District of Columbia,Washington,2300 block of Pennsylvania Ave SE,0,4,https://www.gunviolencearchive.org/incident/2488952,2022,Dec-22,,,,,,
2489345,12/27/22,Ohio,Columbus,900 block of Bellows Ave,0,5,https://www.gunviolencearchive.org/incident/2489345,2022,Dec-22,,,,,,
2489124,12/27/22,California,Eureka,4000 block of Crane St,2,2,https://www.gunviolencearchive.org/incident/2489124,2022,Dec-22,41,,,,male,1
2488209,12/26/22,Louisiana,New Orleans,2031 St Maurice Ave,2,4,https://www.gunviolencearchive.org/incident/2488209,2022,Dec-22,19,,,,male,1
2487989,12/24/22,Mississippi,Columbus,90 block of Luxapalila Dr,1,4,https://www.gunviolencearchive.org/incident/2487989,2022,Dec-22,22,,,,male,1
2487517,12/23/22,Kansas,Wichita,900 block of S Mission Rd,2,2,https://www.gunviolencearchive.org/incident/2487517,2022,Dec-22,39,,,,male,1
2485011,12/19/22,Florida,Lake City,NW Dixie Ave and NW Wright Ln,0,5,https://www.gunviolencearchive.org/incident/2485011,2022,Dec-22,,,,,,
2484083,12/18/22,California,Santa Ana,2112 S Main St,1,3,https://www.gunviolencearchive.org/incident/2484083,2022,Dec-22,18,,,,male,1
2483594,12/18/22,Oklahoma,Oklahoma City,311 S Klein Ave,0,4,https://www.gunviolencearchive.org/incident/2483594,2022,Dec-22,,,,,,
2483489,12/17/22,Georgia,Atlanta,3000 Continental Colony Pkwy SW,2,3,https://www.gunviolencearchive.org/incident/2483489,2022,Dec-22,19,,,,male,1
2482288,12/16/22,Illinois,Chicago,2150 S Laflin St,2,2,https://www.gunviolencearchive.org/incident/2482288,2022,Dec-22,,,,,,
2483188,12/16/22,Georgia,Valdosta,611 E Ann St,2,2,https://www.gunviolencearchive.org/incident/2483188,2022,Dec-22,31,,,,male,1
2483108,12/16/22,Texas,Dallas,2691 John West Rd,0,5,https://www.gunviolencearchive.org/incident/2483108,2022,Dec-22,,,,,,
2482711,12/16/22,Tennessee,Memphis,831 Springdale Run Dr,0,5,https://www.gunviolencearchive.org/incident/2482711,2022,Dec-22,,,,,,
2482119,12/15/22,California,Los Angeles,Florence Ave,0,4,https://www.gunviolencearchive.org/incident/2482119,2022,Dec-22,,,,,,
2480430,12/13/22,New York,Rochester,Atlantic Ave and Illinois St,1,4,https://www.gunviolencearchive.org/incident/2480430,2022,Dec-22,,,,,,
2479678,12/12/22,New York,Bronx,388 E 141st St,0,4,https://www.gunviolencearchive.org/incident/2479678,2022,Dec-22,,,,,,
2478664,12/11/22,Illinois,Chicago,3235 N Central Ave,3,1,https://www.gunviolencearchive.org/incident/2478664,2022,Dec-22,32,,,,male,1
2478061,12/9/22,Arizona,Phoenix,S 21st and W Burgess LN,1,3,https://www.gunviolencearchive.org/incident/2478061,2022,Dec-22,,,,,,
2477622,12/8/22,Michigan,Detroit,1114 Washington Blvd,0,4,https://www.gunviolencearchive.org/incident/2477622,2022,Dec-22,,,,,,
2477404,12/8/22,Louisiana,New Orleans,4242 Chef Menteur Hwy,0,4,https://www.gunviolencearchive.org/incident/2477404,2022,Dec-22,,,,,,
2475554,12/6/22,New York,Bronx,Daly Ave and E 180th St,0,4,https://www.gunviolencearchive.org/incident/2475554,2022,Dec-22,,,,,,
2475546,12/6/22,Georgia,Macon,159 Steven Dr,3,1,https://www.gunviolencearchive.org/incident/2475546,2022,Dec-22,,,,,,
2474143,12/4/22,Illinois,Zion,1800 block of Horeb Ave,0,5,https://www.gunviolencearchive.org/incident/2474143,2022,Dec-22,,,,,,
2472924,12/1/22,Texas,San Antonio,4200 block of S Cibolo St,0,4,https://www.gunviolencearchive.org/incident/2472924,2022,Dec-22,,,,,,
2471298,11/30/22,Louisiana,Lake Charles,510 Broad St,0,8,https://www.gunviolencearchive.org/incident/2471298,2022,Nov-22,,,,,,
2469354,11/27/22,Florida,Tallahassee,2101 Wahnish Way,1,4,https://www.gunviolencearchive.org/incident/2469354,2022,Nov-22,21,,,,male,1
2468894,11/27/22,Louisiana,New Orleans,200 block of Bourbon St,0,5,https://www.gunviolencearchive.org/incident/2468894,2022,Nov-22,18,,,,male,1
2468745,11/26/22,Georgia,Atlanta,117 17th St NW,2,4,https://www.gunviolencearchive.org/incident/2468745,2022,Nov-22,15,16,16,,male,3
2468642,11/26/22,Alabama,Mobile,216 Dauphin St,0,4,https://www.gunviolencearchive.org/incident/2468642,2022,Nov-22,28,19,,,male,2
2468325,11/26/22,Illinois,Chicago,12700 block of S Halsted St,2,2,https://www.gunviolencearchive.org/incident/2468325,2022,Nov-22,,,,,,
2468162,11/25/22,Georgia,Atlanta,2700 block of Gresham Rd,1,3,https://www.gunviolencearchive.org/incident/2468162,2022,Nov-22,15,23,30,,male,3
2467743,11/24/22,California,Costa Mesa,400 block of Bay St,1,4,https://www.gunviolencearchive.org/incident/2467743,2022,Nov-22,41,,,,male,1
2467661,11/24/22,Texas,Houston,1511 Baggett Ln,2,2,https://www.gunviolencearchive.org/incident/2467661,2022,Nov-22,38,,,,male,1
2466835,11/23/22,Maryland,Temple Hills,2300 block of Iverson St,0,4,https://www.gunviolencearchive.org/incident/2466835,2022,Nov-22,,,,,,
2466431,11/23/22,Pennsylvania,Philadelphia,1901 N 60th St,0,4,https://www.gunviolencearchive.org/incident/2466431,2022,Nov-22,,,,,,
2465761,11/22/22,Virginia,Chesapeake,1521 Sam's Circle,7,6,https://www.gunviolencearchive.org/incident/2465761,2022,Nov-22,31,,,,male,1
2465213,11/22/22,Florida,West Palm Beach,600 block of Snead Cir,2,2,https://www.gunviolencearchive.org/incident/2465213,2022,Nov-22,22,,,,male,1
2464943,11/20/22,Oklahoma,Hennessey,2372 N 2760 Rd,4,1,https://www.gunviolencearchive.org/incident/2464943,2022,Nov-22,45,,,,male,1
2464272,11/20/22,Texas,Dallas,2000 S Beckley Ave,0,4,https://www.gunviolencearchive.org/incident/2464272,2022,Nov-22,,,,,,
2463465,11/19/22,Colorado,Colorado Springs,3430 N Academy Blvd,5,17,https://www.gunviolencearchive.org/incident/2463465,2022,Nov-22,22,,,,male,1
2464352,11/19/22,Illinois,Washington Park,Bunkum Rd and N 45th St,1,3,https://www.gunviolencearchive.org/incident/2464352,2022,Nov-22,,,,,,
2463882,11/19/22,Mississippi,Philadelphia,560 Line St,1,6,https://www.gunviolencearchive.org/incident/2463882,2022,Nov-22,25,,,,male,1
2462457,11/18/22,Virginia,Richmond,4275 Laurel Oak Rd,4,0,https://www.gunviolencearchive.org/incident/2462457,2022,Nov-22,35,,,,male,1
2458727,11/13/22,Pennsylvania,Philadelphia,400 block of E Wyoming Ave,0,4,https://www.gunviolencearchive.org/incident/2458727,2022,Nov-22,,,,,,
2458676,11/13/22,North Carolina,Enfield,1662 Green Acres Rd,1,5,https://www.gunviolencearchive.org/incident/2458676,2022,Nov-22,,,,,,
2458863,11/13/22,Nebraska,Omaha,3347 Ames Ave,1,7,https://www.gunviolencearchive.org/incident/2458863,2022,Nov-22,25,25,,,male,2
2459150,11/13/22,Virginia,Charlottesville,130 Culbreth St,3,2,https://www.gunviolencearchive.org/incident/2459150,2022,Nov-22,22,,,,male,1
2458933,11/12/22,California,Sacramento,4000 block of May St,0,4,https://www.gunviolencearchive.org/incident/2458933,2022,Nov-22,,,,,,
2459005,11/12/22,Texas,Fort Worth,6655 Calgary Ln,0,4,https://www.gunviolencearchive.org/incident/2459005,2022,Nov-22,17,,,,male,1
2459259,11/12/22,California,Indio,Lilac Ct and Golden Rod Dr,1,3,https://www.gunviolencearchive.org/incident/2459259,2022,Nov-22,,,,,,
2458467,11/12/22,New Jersey,Paterson,50 Block of N Main St,0,4,https://www.gunviolencearchive.org/incident/2458467,2022,Nov-22,,,,,,
2459156,11/12/22,Tennessee,Memphis,S Goodlett St and Sheffield Ave,0,4,https://www.gunviolencearchive.org/incident/2459156,2022,Nov-22,,,,,,
2458086,11/11/22,New Jersey,Jersey City,Virginia Ave and Martin Luther King Dr,0,4,https://www.gunviolencearchive.org/incident/2458086,2022,Nov-22,,,,,,
2455710,11/7/22,Texas,Mcallen (McAllen),4700 block of Jasmine Ave,0,4,https://www.gunviolencearchive.org/incident/2455710,2022,Nov-22,50,,,,male,1
2453865,11/6/22,Illinois,Chicago,311 W Chicago Ave,1,3,https://www.gunviolencearchive.org/incident/2453865,2022,Nov-22,,,,,,
2453892,11/6/22,Illinois,Chicago,5100 block of S Kolin Ave,0,5,https://www.gunviolencearchive.org/incident/2453892,2022,Nov-22,,,,,,
2454565,11/6/22,California,Tulare,Rd 84 and Ave 208,0,5,https://www.gunviolencearchive.org/incident/2454565,2022,Nov-22,,,,,,
2455484,11/6/22,Florida,Gainesville,500 SW 2nd Ave,0,4,https://www.gunviolencearchive.org/incident/2455484,2022,Nov-22,,,,,,
2454281,11/5/22,New York,Buffalo,30 E Amherst St,0,4,https://www.gunviolencearchive.org/incident/2454281,2022,Nov-22,,,,,,
2453744,11/5/22,Pennsylvania,Philadelphia,853 E Allegheny Ave,0,9,https://www.gunviolencearchive.org/incident/2453744,2022,Nov-22,,,,,,
2452673,11/4/22,Florida,Orlando,10145 Myers Dr,4,2,https://www.gunviolencearchive.org/incident/2452673,2022,Nov-22,23,,,,male,1
2452798,11/4/22,Maryland,La Plata,3018 Wildflower Dr,5,0,https://www.gunviolencearchive.org/incident/2452798,2022,Nov-22,28,,,,male,1
2452501,11/3/22,Illinois,Chicago,3700 block of W Chicago Ave,0,4,https://www.gunviolencearchive.org/incident/2452501,2022,Nov-22,,,,,male,4
2451028,11/2/22,Texas,Houston,2930 W Sam Houston Pkwy S,0,4,https://www.gunviolencearchive.org/incident/2451028,2022,Nov-22,,,,,,
2451550,11/2/22,Mississippi,Hattiesburg,W 5th St,2,3,https://www.gunviolencearchive.org/incident/2451550,2022,Nov-22,20,20,,,male,2
2450360,11/1/22,Colorado,Denver,1400 block of Verbena St,1,5,https://www.gunviolencearchive.org/incident/2450360,2022,Nov-22,24,,,,male,1
2450917,11/1/22,Maryland,Baltimore,2000 block of W Pratt St,0,4,https://www.gunviolencearchive.org/incident/2450917,2022,Nov-22,,,,,,
2449986,10/31/22,Kansas,Kansas City,S 50th St and Elmwood Ave,1,6,https://www.gunviolencearchive.org/incident/2449986,2022,Oct-22,22,,,,male,1
2450557,10/31/22,Illinois,East Saint Louis,935 St Louis Ave,2,3,https://www.gunviolencearchive.org/incident/2450557,2022,Oct-22,,,,,,
2449653,10/31/22,Illinois,Chicago,S California Ave and W Polk St,1,13,https://www.gunviolencearchive.org/incident/2449653,2022,Oct-22,,,,,,
2448898,10/30/22,Tennessee,Memphis,3920 Park Ave,1,3,https://www.gunviolencearchive.org/incident/2448898,2022,Oct-22,18,18,,,male,2
2448366,10/30/22,Colorado,Aurora,900 block of N Geneva St,4,0,https://www.gunviolencearchive.org/incident/2448366,2022,Oct-22,21,,,,male,1
2448287,10/30/22,Pennsylvania,Philadelphia,601 Spring Garden St,0,6,https://www.gunviolencearchive.org/incident/2448287,2022,Oct-22,,,,,,
2448361,10/30/22,California,Covina,17000 block of E Bellbrook St,2,2,https://www.gunviolencearchive.org/incident/2448361,2022,Oct-22,19,19,18,,male,
2448372,10/30/22,South Carolina,Charleston,1900 Hazelwood Dr,0,4,https://www.gunviolencearchive.org/incident/2448372,2022,Oct-22,18,,,,male,1
2448015,10/29/22,Florida,Orlando,8204 Crystal Clear Ln,0,6,https://www.gunviolencearchive.org/incident/2448015,2022,Oct-22,,,,,,
2448330,10/29/22,Florida,Tallahassee,2101 W Pensacola St,1,9,https://www.gunviolencearchive.org/incident/2448330,2022,Oct-22,30,23,26,23,male,4
2447980,10/28/22,Ohio,Toledo,Junction Ave and Belmont Ave,2,2,https://www.gunviolencearchive.org/incident/2447980,2022,Oct-22,,,,,,
2447379,10/28/22,Pennsylvania,Pittsburgh,3737 Brighton Rd,0,5,https://www.gunviolencearchive.org/incident/2447379,2022,Oct-22,19,16,,,male,2
2447217,10/27/22,Oklahoma,Broken Arrow,425 S Hickory Ave,8,0,https://www.gunviolencearchive.org/incident/2447217,2022,Oct-22,34,,,,male,1
2445686,10/25/22,Ohio,Hamilton,700 block of S 2nd St,2,2,https://www.gunviolencearchive.org/incident/2445686,2022,Oct-22,,,,,,
2445939,10/25/22,North Carolina,Greensboro,900 block of Circle Dr,2,4,https://www.gunviolencearchive.org/incident/2445939,2022,Oct-22,,,,,,
2443879,10/24/22,Missouri,Saint Louis,3125 S Kingshighway Blvd,3,4,https://www.gunviolencearchive.org/incident/2443879,2022,Oct-22,19,,,,male,1
2443849,10/24/22,Illinois,Chicago,3200 block of W 30th St,1,3,https://www.gunviolencearchive.org/incident/2443849,2022,Oct-22,,,,,,
2443627,10/23/22,Texas,Brownsville,1200 block of W Saint Francis St,0,5,https://www.gunviolencearchive.org/incident/2443627,2022,Oct-22,,,,,,
2443194,10/23/22,Illinois,Chicago,4300 block of S Kedzie Ave,3,2,https://www.gunviolencearchive.org/incident/2443194,2022,Oct-22,,,,,,
2443276,10/23/22,Wisconsin,Milwaukee,N 34th St and W Wright St,0,4,https://www.gunviolencearchive.org/incident/2443276,2022,Oct-22,,,,,,
2442695,10/22/22,Wisconsin,Milwaukee,W Fond Du Lac and W Hoyt Pl,0,6,https://www.gunviolencearchive.org/incident/2442695,2022,Oct-22,,,,,,
2443257,10/22/22,North Carolina,Oxford,100 block of Granville St,0,6,https://www.gunviolencearchive.org/incident/2443257,2022,Oct-22,,,,,,
2443287,10/22/22,Georgia,Cordele,1309 16th Ave E,0,4,https://www.gunviolencearchive.org/incident/2443287,2022,Oct-22,42,,,,male,1
2443231,10/22/22,Arizona,Phoenix,6330 W Miami St,1,7,https://www.gunviolencearchive.org/incident/2443231,2022,Oct-22,19,,,,male,1
2450590,10/21/22,Mississippi,Cleveland,511 Lee St,1,3,https://www.gunviolencearchive.org/incident/2450590,2022,Oct-22,,,,,,
2442632,10/21/22,Louisiana,New Orleans,2200 block of N Galvez St,1,3,https://www.gunviolencearchive.org/incident/2442632,2022,Oct-22,,,,,,
2444683,10/21/22,Wisconsin,Hartland,700 Mansfield Court,6,0,https://www.gunviolencearchive.org/incident/2444683,2022,Oct-22,34,33,,,male,2
2442008,10/21/22,Louisiana,Baton Rouge,636 Harding Blvd,0,11,https://www.gunviolencearchive.org/incident/2442008,2022,Oct-22,28,24,22,,male,3
2441540,10/20/22,Ohio,Cleveland,4497 State Rd,0,5,https://www.gunviolencearchive.org/incident/2441540,2022,Oct-22,,,,,,
2439423,10/17/22,Virginia,Woodbridge,5297 Mansfield Ct,4,0,https://www.gunviolencearchive.org/incident/2439423,2022,Oct-22,24,,,,male,1
2438904,10/16/22,Texas,El Paso,8500 block of Dyer St,1,3,https://www.gunviolencearchive.org/incident/2438904,2022,Oct-22,19,,,,male,1
2438505,10/16/22,Georgia,Atlanta,223 James P Brawley Dr SW,0,4,https://www.gunviolencearchive.org/incident/2438505,2022,Oct-22,,,,,,
2439294,10/16/22,California,Lancaster,44236 20th St E,0,4,https://www.gunviolencearchive.org/incident/2439294,2022,Oct-22,,,,,,2
2438461,10/16/22,Virginia,Harrisonburg,1500 block of Devon Ln,0,8,https://www.gunviolencearchive.org/incident/2438461,2022,Oct-22,20,,,,male,1
2438121,10/15/22,Colorado,Denver,900 Dakin St,1,7,https://www.gunviolencearchive.org/incident/2438121,2022,Oct-22,,,,,,
2438154,10/15/22,Massachusetts,Worcester,88 Webster St,0,6,https://www.gunviolencearchive.org/incident/2438154,2022,Oct-22,18,21,21,,male,3
2438494,10/15/22,New York,Freeport,Babylon Tpke and Independence Ave,0,4,https://www.gunviolencearchive.org/incident/2438494,2022,Oct-22,,,,,,
2438482,10/15/22,Pennsylvania,Pittsburgh,300 block of Cedar Ave,3,1,https://www.gunviolencearchive.org/incident/2438482,2022,Oct-22,,,,,,
2438723,10/15/22,Mississippi,Itta Bena,,2,7,https://www.gunviolencearchive.org/incident/2438723,2022,Oct-22,,,,,,
2437284,10/14/22,Pennsylvania,Philadelphia,Willard St and Shelbourne St,0,4,https://www.gunviolencearchive.org/incident/2437284,2022,Oct-22,,,,,,
2436826,10/13/22,North Carolina,Raleigh,5300 block of Sahalee Way,5,3,https://www.gunviolencearchive.org/incident/2436826,2022,Oct-22,15,,,,male,1
2437177,10/13/22,North Carolina,New Bern,2100 block of New Bern Ave,0,4,https://www.gunviolencearchive.org/incident/2437177,2022,Oct-22,,,,,,
2437630,10/13/22,Alabama,Lanett,1912 50th Ave SW,0,6,https://www.gunviolencearchive.org/incident/2437630,2022,Oct-22,,,,,,
2434847,10/10/22,California,Delano,County Line Road and Road 136,1,3,https://www.gunviolencearchive.org/incident/2434847,2022,Oct-22,,,,,,
2434247,10/9/22,South Carolina,Inman,280 Bobo Dr,5,0,https://www.gunviolencearchive.org/incident/2434247,2022,Oct-22,24,,,,male,1
2434128,10/9/22,Florida,Miami,525 NE 150th St,1,3,https://www.gunviolencearchive.org/incident/2434128,2022,Oct-22,,,,,,
2439284,10/9/22,Oklahoma,Henryetta,US-75 and Catalpa Rd,4,0,https://www.gunviolencearchive.org/incident/2439284,2022,Oct-22,67,,,,male,1
2434326,10/9/22,Arkansas,Jacksonville,300 Marshall Rd,1,3,https://www.gunviolencearchive.org/incident/2434326,2022,Oct-22,,,,,,
2433539,10/9/22,Florida,Tampa,908 N Franklin St,1,6,https://www.gunviolencearchive.org/incident/2433539,2022,Oct-22,32,20,,,male,2
2434062,10/9/22,Texas,Beaumont,2550 I-10 Frontage Rd,0,5,https://www.gunviolencearchive.org/incident/2434062,2022,Oct-22,,,,,,
2433352,10/8/22,California,Berkeley,Durant Ave and Telegraph Ave,1,3,https://www.gunviolencearchive.org/incident/2433352,2022,Oct-22,18,24,,,male,2
2440211,10/8/22,Alabama,Hurtsboro,Ross Rd,2,2,https://www.gunviolencearchive.org/incident/2440211,2022,Oct-22,,,,,,
2434151,10/8/22,Missouri,Saint Joseph,302 Illinois Ave,0,4,https://www.gunviolencearchive.org/incident/2434151,2022,Oct-22,,,,,,
2432772,10/7/22,Oregon,Portland,SE 92nd Ave and Powell Blvd,0,4,https://www.gunviolencearchive.org/incident/2432772,2022,Oct-22,,,,,,
2432893,10/7/22,Texas,Fort Worth,1200 block of Jessamine St,4,0,https://www.gunviolencearchive.org/incident/2432893,2022,Oct-22,,,,,,
2431842,10/6/22,Kentucky,Louisville,5000 block of East Indian Trail,0,4,https://www.gunviolencearchive.org/incident/2431842,2022,Oct-22,,,,,,
2431594,10/6/22,District of Columbia,Washington,1200 North Capitol St NW,1,3,https://www.gunviolencearchive.org/incident/2431594,2022,Oct-22,,,,,,
2431069,10/5/22,Texas,Baytown,2000 block of Tri City Beach Rd,5,2,https://www.gunviolencearchive.org/incident/2431069,2022,Oct-22,,,,,,
2428950,10/2/22,Tennessee,Nashville,600 block of S 7th St,0,4,https://www.gunviolencearchive.org/incident/2428950,2022,Oct-22,,,,,,
2428715,10/2/22,Washington,Seattle,4300 block of University Way NE,0,4,https://www.gunviolencearchive.org/incident/2428715,2022,Oct-22,,,,,,
2428678,10/1/22,California,Oakland,988 Apgar St,2,2,https://www.gunviolencearchive.org/incident/2428678,2022,Oct-22,,,,,,
